260892858	983098..984090	+	Ammonifex_degensii_KC4_uid41053	NC_013385	928	COG2378		WYL
260892859	984150..984899	+	Ammonifex_degensii_KC4_uid41053	NC_013385	929	COG1583	+	cas6
260892860	984913..986907	+	Ammonifex_degensii_KC4_uid41053	NC_013385	930	pfam09484	+	cas8b1
260892861	986907..987911	+	Ammonifex_degensii_KC4_uid41053	NC_013385	931	pfam05107	+	cas7b
260892862	987918..988718	+	Ammonifex_degensii_KC4_uid41053	NC_013385	932	mkCas0191	+	cas5
260892863	988676..991141	+	Ammonifex_degensii_KC4_uid41053	NC_013385	933	COG1203	+	cas3
260892864	991153..991686	+	Ammonifex_degensii_KC4_uid41053	NC_013385	934	pfam01930		cas4
260892865	994004..994891	+	Ammonifex_degensii_KC4_uid41053	NC_013385	935	-		-
260892866	994967..996094	+	Ammonifex_degensii_KC4_uid41053	NC_013385	936	pfam09002		csx1
260892867	996096..997391	+	Ammonifex_degensii_KC4_uid41053	NC_013385	937	pfam09670		csx1
260892868	997405..999537	+	Ammonifex_degensii_KC4_uid41053	NC_013385	938	mkCas0133	+	cas10
260892869	999552..1000265	+	Ammonifex_degensii_KC4_uid41053	NC_013385	939	cd09683	+	csm3
260892870	1000237..1001463	+	Ammonifex_degensii_KC4_uid41053	NC_013385	940	cls000715	+	csx10
260892871	1001429..1001815	+	Ammonifex_degensii_KC4_uid41053	NC_013385	941	mkCas0136	+	csm2
260892872	1001812..1002636	+	Ammonifex_degensii_KC4_uid41053	NC_013385	942	cd09683	+	csm3
260892873	1002629..1003525	+	Ammonifex_degensii_KC4_uid41053	NC_013385	943	COG1337	+	csm3
260892874	1003522..1004070	+	Ammonifex_degensii_KC4_uid41053	NC_013385	944	mkCas0137	+	csx19
260892875	1004083..1005078	+	Ammonifex_degensii_KC4_uid41053	NC_013385	945	cls000253,cls000253	+	csm3,csm3
260892876	1005092..1005394	+	Ammonifex_degensii_KC4_uid41053	NC_013385	946	mkCas0125		csx21
440685077	30409..31539	-	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	26	COG5551	+	cas6
440685078	35765..37192	-	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	27	mkCas0075		WYL
440685079	37309..38595	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	28	mkCas0112		csx1
440685080	38604..40277	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	29	mkCas0133	+	cas10
440685081	40240..40932	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	30	mkCas0198	+	csm3
440685082	40929..42575	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	31	cls000715	+	csx10
440685083	42568..44112	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	32	COG1337,cd09683	+	csm3,csm3
440685084	44109..44714	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	33	cls001376	+	csx19
440685085	44704..47193	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	34	cls000253,mkCas0076	+	csm3,csx21
440685086	50025..50972	-	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	35	-		-
440685087	51102..52910	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	36	cls000706	+	cas8a4
